Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Alexandra Park,43.64806365,-79.40432050000001,Death in Venice,43.647558,-79.402539,Ice Cream Shop
Alexandra Park,43.64806365,-79.40432050000001,ZANE,43.64643537853818,-79.40738980984081,Accessories Store
Alexandra Park,43.64806365,-79.40432050000001,Soufi's,43.646552639104186,-79.40733879264602,Middle Eastern Restaurant
Alexandra Park,43.64806365,-79.40432050000001,Drom Taberna,43.648134029847476,-79.39967466122691,Bar
Alexandra Park,43.64806365,-79.40432050000001,BarChef,43.648038103605295,-79.40016126163273,Bar
Alexandra Park,43.64806365,-79.40432050000001,Dufflet Pastries,43.646306,-79.408456,Dessert Shop
Alexandra Park,43.64806365,-79.40432050000001,Campechano,43.645828,-79.400887,Taco Place
Alexandra Park,43.64806365,-79.40432050000001,Cumbrae's,43.64624849355752,-79.40892240807182,Butcher
Alexandra Park,43.64806365,-79.40432050000001,Jimmy's Coffee,43.64660323797578,-79.4067108433949,Coffee Shop
Alexandra Park,43.64806365,-79.40432050000001,Sud Forno,43.64620838557792,-79.40898619780963,Bakery
Alexandra Park,43.64806365,-79.40432050000001,Body Blitz Spa West,43.64597633141546,-79.39983376298972,Spa
Alexandra Park,43.64806365,-79.40432050000001,Raku,43.64813897879459,-79.39949180336755,Udon Restaurant
Alexandra Park,43.64806365,-79.40432050000001,Misfit Studio,43.646308,-79.407839,Yoga Studio
Alexandra Park,43.64806365,-79.40432050000001,Anthropologie,43.64632204538645,-79.407741071277,Women's Store
Alexandra Park,43.64806365,-79.40432050000001,Chubby's Jamaican Kitchen,43.64538105237477,-79.40057666669544,Caribbean Restaurant
Alexandra Park,43.64806365,-79.40432050000001,Alexandra Park,43.650582680667924,-79.40453778486872,Park
Alexandra Park,43.64806365,-79.40432050000001,Terroni,43.646177417633886,-79.4091503314554,Pizza Place
Alexandra Park,43.64806365,-79.40432050000001,The Tiki Bar,43.64760710918619,-79.40269871340676,Bar
Alexandra Park,43.64806365,-79.40432050000001,Jimmy's Coffee,43.64525755897644,-79.40030851573793,Coffee Shop
Alexandra Park,43.64806365,-79.40432050000001,Sydney's,43.64658232233,-79.40747339387583,Men's Store
Alexandra Park,43.64806365,-79.40432050000001,Forget Me Not Cafe,43.64573269057218,-79.4007156479644,Coffee Shop
Alexandra Park,43.64806365,-79.40432050000001,Factory Theatre,43.64534156744115,-79.40267474491847,Theater
Alexandra Park,43.64806365,-79.40432050000001,Petit Nuage,43.65171670538228,-79.40399906956775,Dessert Shop
Alexandra Park,43.64806365,-79.40432050000001,Gusto 101,43.644988223402216,-79.4002697924689,Italian Restaurant
Alexandra Park,43.64806365,-79.40432050000001,Nando's Queen St. W,43.64653025691222,-79.40695213219306,Portuguese Restaurant
Alexandra Park,43.64806365,-79.40432050000001,Beast Restaurant,43.644081809663504,-79.40557852731638,American Restaurant
Alexandra Park,43.64806365,-79.40432050000001,City Dance Corps,43.648143964685374,-79.39811053124042,Dance Studio
Alexandra Park,43.64806365,-79.40432050000001,The Dime,43.64748908937605,-79.40255902404057,Restaurant
Alexandra Park,43.64806365,-79.40432050000001,Theatre Passe Muraille,43.64860133171848,-79.40254468769677,Theater
Alexandra Park,43.64806365,-79.40432050000001,Market 707,43.652127706758996,-79.40484420479436,Food Court
Alexandra Park,43.64806365,-79.40432050000001,Buca,43.64478896478924,-79.40039440893409,Italian Restaurant
Alexandra Park,43.64806365,-79.40432050000001,Mula Yoga,43.644937741634415,-79.40861602759297,Yoga Studio
Alexandra Park,43.64806365,-79.40432050000001,Kanto,43.6521668804813,-79.40484262234281,Filipino Restaurant
Alexandra Park,43.64806365,-79.40432050000001,Buddha's Vegetarian,43.65190355922526,-79.40331176640306,Vegetarian / Vegan Restaurant
Alexandra Park,43.64806365,-79.40432050000001,The Cabinet Salon,43.64764036906222,-79.40129406386491,Salon / Barbershop
Alexandra Park,43.64806365,-79.40432050000001,Montauk,43.65208369287188,-79.4068975523757,Bar
Alexandra Park,43.64806365,-79.40432050000001,Heel Boy,43.646401491538036,-79.40801834024788,Shoe Store
Alexandra Park,43.64806365,-79.40432050000001,Papaya Island,43.64750394227526,-79.40171774036013,Restaurant
Alexandra Park,43.64806365,-79.40432050000001,Starbucks,43.64419042048389,-79.4013171885997,Coffee Shop
Alexandra Park,43.64806365,-79.40432050000001,Regulars,43.644112,-79.402375,Bar
Alexandra Park,43.64806365,-79.40432050000001,Loblaws,43.647547268724715,-79.40157944150744,Grocery Store
Alexandra Park,43.64806365,-79.40432050000001,LCBO,43.647420334089134,-79.40275858032241,Liquor Store
Alexandra Park,43.64806365,-79.40432050000001,Gushi,43.65225817681606,-79.40488372625506,Japanese Restaurant
Alexandra Park,43.64806365,-79.40432050000001,Sanko,43.64615368870059,-79.40958555816543,Grocery Store
Alexandra Park,43.64806365,-79.40432050000001,Village Pizza,43.652065,-79.406425,Pizza Place
Alexandra Park,43.64806365,-79.40432050000001,Bathurst Local,43.651527895422575,-79.40583615714475,Bar
Alexandra Park,43.64806365,-79.40432050000001,Brioche Dorée,43.64412860861413,-79.40165707717495,Bakery
Alexandra Park,43.64806365,-79.40432050000001,Nom Nom Nom Poutine & Crêpes,43.65211105018779,-79.40478604370892,Poutine Place
Alexandra Park,43.64806365,-79.40432050000001,Aroma Espresso Bar,43.64803481756751,-79.39958308867753,Café
Alexandra Park,43.64806365,-79.40432050000001,Greens Vegetarian Restaurant,43.652033704026216,-79.40238187213345,Vegetarian / Vegan Restaurant
Alexandra Park,43.64806365,-79.40432050000001,St. Andrews Playground / Dog Park,43.64738759338116,-79.39875217247466,Park
Alexandra Park,43.64806365,-79.40432050000001,Americo,43.64814862211383,-79.39942972001549,Arts & Crafts Store
Alexandra Park,43.64806365,-79.40432050000001,Coco Rice,43.6437916322359,-79.4029131690026,Thai Restaurant
Alexandra Park,43.64806365,-79.40432050000001,Jimmy’s Coffee,43.64526266764044,-79.40056659291406,Coffee Shop
Alexandra Park,43.64806365,-79.40432050000001,The Six Brewing Co.,43.65194443607904,-79.40730214118958,Brewery
Alexandra Park,43.64806365,-79.40432050000001,Oretta,43.644092145588765,-79.4017853467708,Italian Restaurant
Alexandra Park,43.64806365,-79.40432050000001,Chop Chop,43.652060345335286,-79.4070732835661,Chinese Restaurant
Alexandra Park,43.64806365,-79.40432050000001,Rogers Wireless,43.644031,-79.40199505,Electronics Store
Alexandra Park,43.64806365,-79.40432050000001,Freshii,43.644139441284516,-79.40279794800523,Vegetarian / Vegan Restaurant
Armadale,43.8342014836,-79.254248247,China Cottage,43.835214767771056,-79.25460316824893,Hakka Restaurant
Armadale,43.8342014836,-79.254248247,LCBO,43.83517800609541,-79.25616829198823,Liquor Store
Armadale,43.8342014836,-79.254248247,MR. GREEK Express,43.835376813952756,-79.25368776371884,Greek Restaurant
Armadale,43.8342014836,-79.254248247,Lowe's Home Improvement,43.834101,-79.252602,Hardware Store
Armadale,43.8342014836,-79.254248247,Subway,43.83476140349603,-79.25248508971025,Sandwich Place
Armadale,43.8342014836,-79.254248247,HERO Certified Burgers,43.83566717876156,-79.25393967224238,Burger Joint
Armadale,43.8342014836,-79.254248247,Walmart Supercentre,43.834053373115864,-79.25621262119752,Big Box Store
Armadale,43.8342014836,-79.254248247,GoodLife Fitness Scarborough Select Avenue,43.83318313258549,-79.24944343397466,Gym
Armadale,43.8342014836,-79.254248247,Wild Wing,43.835688268262835,-79.25400545534849,Wings Joint
Armadale,43.8342014836,-79.254248247,Tim Hortons,43.834725098160824,-79.25699517130852,Coffee Shop
Armadale,43.8342014836,-79.254248247,McDonald's,43.83388294292767,-79.25615078622165,Fast Food Restaurant
Armadale,43.8342014836,-79.254248247,Regal Nails,43.833994,-79.255339,Spa
Armadale,43.8342014836,-79.254248247,Tea Shop 168,43.834254659157466,-79.25517751652364,Bubble Tea Shop
Armadale,43.8342014836,-79.254248247,Pizza Nova,43.8356529458059,-79.2537129340159,Pizza Place
Armour Heights,43.7498120065,-79.43565780750001,Earl Bales Park,43.75304340101652,-79.43622849867882,Park
Armour Heights,43.7498120065,-79.43565780750001,Earl Bales Ski and Snowboard Centre,43.75263075010656,-79.4318654481669,Ski Chalet
Armour Heights,43.7498120065,-79.43565780750001,The Medicine Shoppe Pharmacy,43.751152,-79.4378043,Pharmacy
Armour Heights,43.7498120065,-79.43565780750001,York Downs Convenience Store,43.746889,-79.436317,Convenience Store
Armour Heights,43.7498120065,-79.43565780750001,Clanton Park,43.74619617653082,-79.43637178821584,Other Great Outdoors
Armour Heights,43.7498120065,-79.43565780750001,North York Ski Centre,43.752711265290976,-79.43195314152754,Ski Area
Bathurst Quay,43.63624669266667,-79.39827531033332,Starbucks,43.636919889441835,-79.39983973643012,Coffee Shop
Bathurst Quay,43.63624669266667,-79.39827531033332,Toronto Music Garden,43.636901770652464,-79.39393331122407,Garden
Bathurst Quay,43.63624669266667,-79.39827531033332,Tim Hortons,43.63744078539766,-79.40031096339226,Coffee Shop
Bathurst Quay,43.63624669266667,-79.39827531033332,Sansotei Ramen,43.63917614914748,-79.39818352488898,Ramen Restaurant
Bathurst Quay,43.63624669266667,-79.39827531033332,Roywoods,43.63909873327465,-79.3984489696356,Caribbean Restaurant
Bathurst Quay,43.63624669266667,-79.39827531033332,Little Norway Park,43.634871416753256,-79.39847430789386,Park
Bathurst Quay,43.63624669266667,-79.39827531033332,touti gelati and café,43.636922845146216,-79.39659966196908,Café
Bathurst Quay,43.63624669266667,-79.39827531033332,Ireland Park,43.63482518211738,-79.39560104255165,Sculpture Garden
Bathurst Quay,43.63624669266667,-79.39827531033332,Canoe Landing Park,43.63876173785461,-79.39706683158875,Park
Bathurst Quay,43.63624669266667,-79.39827531033332,Toronto Harbour,43.63304549594827,-79.39648421332333,Harbor / Marina
Bathurst Quay,43.63624669266667,-79.39827531033332,Guirei Sushi,43.636867379583244,-79.39692662586845,Sushi Restaurant
Bathurst Quay,43.63624669266667,-79.39827531033332,Rose's New York,43.6389451629175,-79.39894255268376,Diner
Bathurst Quay,43.63624669266667,-79.39827531033332,Music Garden Cafe,43.63741272727682,-79.39319822559642,Café
Bathurst Quay,43.63624669266667,-79.39827531033332,The National Ballet of Canada,43.63742907978547,-79.3934224456686,Dance Studio
Bathurst Quay,43.63624669266667,-79.39827531033332,Hunters Landing,43.63988502260931,-79.3969507148344,Pub
Bathurst Quay,43.63624669266667,-79.39827531033332,Aroma Espresso Bar,43.633702,-79.397748,Coffee Shop
Bathurst Quay,43.63624669266667,-79.39827531033332,Parisco Cafe,43.635955286494344,-79.40433072794977,Café
Bathurst Quay,43.63624669266667,-79.39827531033332,Billy Bishop Airport Tunnel,43.63409654411113,-79.39724354414479,Tunnel
Bathurst Quay,43.63624669266667,-79.39827531033332,Tim Hortons,43.639553622890865,-79.39846312570995,Coffee Shop
Bathurst Quay,43.63624669266667,-79.39827531033332,TD Canada Trust,43.636342,-79.4019053,Bank
Bathurst Quay,43.63624669266667,-79.39827531033332,Harbour Green Farms,43.63569983023805,-79.39854450587347,Grocery Store
Bathurst Quay,43.63624669266667,-79.39827531033332,Iruka Sushi,43.636900740901396,-79.3966095935637,Japanese Restaurant
Bathurst Quay,43.63624669266667,-79.39827531033332,Tim Hortons / Esso,43.63635429073861,-79.39978492883472,Coffee Shop
Bathurst Quay,43.63624669266667,-79.39827531033332,West Harbour City Gym,43.636440039239694,-79.40294425557241,Gym
Bayview Village,43.76885050833334,-79.37845112733335,Mountain Equipment Co-op,43.76987684570399,-79.37511694519891,Outdoor Supply Store
Bayview Village,43.76885050833334,-79.37845112733335,Taro's Fish,43.76996164341515,-79.37465906198047,Fish Market
Bayview Village,43.76885050833334,-79.37845112733335,MEC,43.76989364818691,-79.37516454175586,Sporting Goods Shop
Bayview Village,43.76885050833334,-79.37845112733335,Sunshine Spot,43.770162103240736,-79.37477798821956,Breakfast Spot
Bayview Village,43.76885050833334,-79.37845112733335,Gap,43.769131815140064,-79.38417403386923,Clothing Store
Bayview Village,43.76885050833334,-79.37845112733335,Pusateri's Fine Foods,43.768679450123244,-79.38413261440179,Gourmet Shop
Bayview Village,43.76885050833334,-79.37845112733335,Starbucks,43.769777521540775,-79.37267858071249,Coffee Shop
Bayview Village,43.76885050833334,-79.37845112733335,Shell,43.76973986,-79.37631764,Gas Station
Bayview Village,43.76885050833334,-79.37845112733335,Pizza Pizza,43.76977203092848,-79.37554445505702,Pizza Place
Bayview Village,43.76885050833334,-79.37845112733335,Bessarion Subway Station,43.769261840475664,-79.37613043750773,Metro Station
Bayview Village,43.76885050833334,-79.37845112733335,M&M Food Market,43.76985223815584,-79.37608547042834,Grocery Store
Bayview Village,43.76885050833334,-79.37845112733335,Lettieri,43.76901544989478,-79.38416197611689,Coffee Shop
Bayview Village,43.76885050833334,-79.37845112733335,Subway,43.770481454675156,-79.37311297514412,Sandwich Place
Bayview Village,43.76885050833334,-79.37845112733335,Shatter Abbas,43.769997628351945,-79.37443439177133,Persian Restaurant
Bayview Village,43.76885050833334,-79.37845112733335,Starbucks,43.768606075115,-79.38396604832595,Coffee Shop
Bayview Village,43.76885050833334,-79.37845112733335,Rean Park,43.76627,-79.381959,Park
Bayview Woods-Steeles,43.79525114285714,-79.38718557142859,Baseball Fields/Park,43.79564427132376,-79.3852135326851,Dog Run
Bayview Woods-Steeles,43.79525114285714,-79.38718557142859,Ruddington Park,43.792033469823956,-79.38908420417211,Playground
Beach Hill,43.68041108000001,-79.3081874,Budapest Restaurant,43.680946,-79.31011,Hungarian Restaurant
Beach Hill,43.68041108000001,-79.3081874,Basil Thai Kitchen,43.68456259154853,-79.30736206544368,Thai Restaurant
Beach Hill,43.68041108000001,-79.3081874,Cassels Avenue Playground,43.67995645255925,-79.30688572166959,Park
Beach Hill,43.68041108000001,-79.3081874,wild wood dog park,43.68116527315171,-79.31256450465547,Dog Run
Beach Hill,43.68041108000001,-79.3081874,Wildwood Crescent Playground,43.68084886774663,-79.31324681577772,Playground
Beach Hill,43.68041108000001,-79.3081874,Norwood Dog Park,43.68237497831736,-79.30377810677464,Dog Run
Beaches—East York,43.675673290384616,-79.31845860838463,Bodega Henriette,43.67807709328078,-79.3148675051117,Café
Beaches—East York,43.675673290384616,-79.31845860838463,Lake Inez,43.672520212121675,-79.32071230366756,Asian Restaurant
Beaches—East York,43.675673290384616,-79.31845860838463,Godspeed Brewery,43.67262030152577,-79.31922849103603,Brewery
Beaches—East York,43.675673290384616,-79.31845860838463,Udupi Palace,43.67247950462566,-79.32127455331215,Indian Restaurant
Beaches—East York,43.675673290384616,-79.31845860838463,Flying Pony,43.672554289580304,-79.32046357798333,Café
Beaches—East York,43.675673290384616,-79.31845860838463,Lazy Daisy's Cafe,43.67281409083959,-79.31943769132836,Café
Beaches—East York,43.675673290384616,-79.31845860838463,Eulalie's Corner Store,43.67253532149764,-79.32189619176525,Bar
Beaches—East York,43.675673290384616,-79.31845860838463,Hakka Wow,43.672282,-79.322126,Indian Chinese Restaurant
Beaches—East York,43.675673290384616,-79.31845860838463,BJ Supermarket,43.67238943901235,-79.3213834879562,Grocery Store
Beaches—East York,43.675673290384616,-79.31845860838463,Lahore Paan Centre,43.67222612550265,-79.32212190790149,Snack Place
Beaches—East York,43.675673290384616,-79.31845860838463,Subway,43.67315636311178,-79.3193818890498,Sandwich Place
Beaches—East York,43.675673290384616,-79.31845860838463,Fairmount Park,43.6752861866186,-79.31574491228163,Baseball Field
Beaches—East York,43.675673290384616,-79.31845860838463,New Town Restaurant,43.67287967976408,-79.31948807998097,Diner
Beaches—East York,43.675673290384616,-79.31845860838463,GoodLife Fitness Toronto Coxwell and Gerrard,43.67291816962865,-79.31938153507653,Gym
Beaches—East York,43.675673290384616,-79.31845860838463,Occasions Restaurant,43.67320785674965,-79.31861239046192,Restaurant
Beaumonde Heights,43.7435880382,-79.58501943520001,Sheriff's No Frills,43.74196806166214,-79.58663897240363,Grocery Store
Beaumonde Heights,43.7435880382,-79.58501943520001,The Beer Store,43.7416936,-79.5843728,Beer Store
Beaumonde Heights,43.7435880382,-79.58501943520001,Shoppers Drug Mart,43.74083239297218,-79.58334731801473,Pharmacy
Beaumonde Heights,43.7435880382,-79.58501943520001,Popeyes Louisiana Kitchen,43.74120165509377,-79.58454469276013,Fried Chicken Joint
Beaumonde Heights,43.7435880382,-79.58501943520001,Pizza Pizza,43.74156896801906,-79.58448886871338,Pizza Place
Beaumonde Heights,43.7435880382,-79.58501943520001,Subway,43.742421428383224,-79.58947097431394,Sandwich Place
Beaumonde Heights,43.7435880382,-79.58501943520001,McDonald's,43.74163461048035,-79.58444567853267,Fast Food Restaurant
Beaumonde Heights,43.7435880382,-79.58501943520001,Canadian Tire,43.74184391350161,-79.5822936889543,Hardware Store
Beaumonde Heights,43.7435880382,-79.58501943520001,NORI SUSHI,43.742775,-79.586985,Japanese Restaurant
Beaumonde Heights,43.7435880382,-79.58501943520001,LCBO,43.741507521946716,-79.58450113981092,Liquor Store
Beaumonde Heights,43.7435880382,-79.58501943520001,Rogers Plus,43.74131169099951,-79.58526313098758,Video Store
Beaumonde Heights,43.7435880382,-79.58501943520001,Sunny Foodmart,43.74184023292111,-79.59056069637506,Grocery Store
Beaumonde Heights,43.7435880382,-79.58501943520001,Tim Hortons,43.7420146612893,-79.58968967199326,Coffee Shop
Beaumonde Heights,43.7435880382,-79.58501943520001,Panorama Park,43.747021027856135,-79.58349654663803,Park
Beaumonde Heights,43.7435880382,-79.58501943520001,Bento Sushi,43.74170859761316,-79.57952916694921,Sushi Restaurant
Bedford Park,43.73482878750001,-79.41869299999999,Aroma Espresso Bar,43.73597504480755,-79.42039080887425,Café
Bedford Park,43.73482878750001,-79.41869299999999,Darbar Persian Grill,43.735484,-79.420006,Restaurant
Bedford Park,43.73482878750001,-79.41869299999999,The Copper Chimney,43.73619518432498,-79.42027081330127,Indian Restaurant
Bedford Park,43.73482878750001,-79.41869299999999,Francobollo,43.734556923055784,-79.41954908679143,Italian Restaurant
